"""LOCATION";"""INDICATOR""";"""SUBJECT""";"""MEASURE""";"""FREQUENCY""";"""TIME""";"""Value""";"""Flag Codes"""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-03""";1.009.439;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-04""";100.894;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-05""";1.007.977;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-06""";1.006.448;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-07""";1.005.328;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-08""";1.005.972;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-09""";1.007.578;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-10""";1.007.336;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-11""";100.63;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-12""";1.005.651;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-01""";1.005.029;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-02""";1.005.255;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-03""";1.006.562;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-04""";100.869;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-05""";1.009.897;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-06""";101.071;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-07""";1.011.769;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-08""";1.012.854;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-09""";1.013.571;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-10""";1.015.136;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-11""";1.017.107;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-12""";101.773;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-01""";1.017.535;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-02""";1.017.119;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-03""";101.766;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-04""";1.018.315;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-05""";1.018.855;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-06""";1.020.285;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-07""";1.021.598;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-08""";1.022.323;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-09""";1.022.644;""""
